Organism_Name	Temperature_Range
Mycoplasma crocodyli MP145	Mesophile
Mesotoga prima MesG1.Ag.4.2	Mesophile
Deinococcus maricopensis DSM 21211	Mesophile
Nautilia profundicola AmH	Mesophile
Acidimicrobium ferrooxidans DSM 10331	Mesophile
Deinococcus geothermalis DSM 11300	Mesophile
Flexistipes sinusarabici DSM 4947	Thermophile
Chlorobaculum tepidum TLS	Thermophile
Chloroflexus aurantiacus J-10-fl	Thermophile
Chloracidobacterium thermophilum B	Thermophile
Roseiflexus castenholzii DSM 13941	Thermophile
Truepera radiovictrix DSM 17093	Thermophile
Meiothermus silvanus DSM 9946	Thermophile
Natranaerobius thermophilus JW/NM-WN-LF	Thermophile
Kyrpidia tusciae DSM 2912	Thermophile
Mahella australiensis 50-1 BON	Thermophile
Thermodesulfobium narugense DSM 14796	Thermophile
Thermobacillus composti KWC4	Thermophile
Hippea maritima DSM 10411	Thermophile
Thermanaerovibrio acidaminovorans DSM 6589	Thermophile
Acetomicrobium mobile DSM 13181	Thermophile
Thermovirga lienii DSM 17291	Thermophile
Acidothermus cellulolyticus 11B	Thermophile
Chloroflexus aggregans DSM 9485	Thermophile
Anaerolinea thermophila UNI-1	Thermophile
Sphaerobacter thermophilus DSM 20745	Thermophile
Thermoanaerobacterium thermosaccharolyticum M0795	Thermophile
Syntrophothermus lipocalidus DSM 12680	Thermophile
Acetivibrio clariflavus DSM 19732	Thermophile
Petrotoga mobilis SJ95	Thermophile
Calditerrivibrio nitroreducens DSM 19672	Thermophile
Coprothermobacter proteolyticus DSM 5265	Thermophile
Thermodesulfovibrio yellowstonii DSM 11347	Thermophile
Rubrobacter xylanophilus DSM 9941	Thermophile
Oceanithermus profundus DSM 14977	Thermophile
Halothermothrix orenii H 168	Thermophile
Symbiobacterium thermophilum IAM 14863	Thermophile
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Thermophile
Thermoanaerobacterium xylanolyticum LX-11	Thermophile
Spirochaeta thermophila DSM 6578	Thermophile
Caldicellulosiruptor saccharolyticus DSM 8903	Thermophile
Thermoanaerobacter italicus Ab9	Thermophile
Caldicellulosiruptor hydrothermalis 108	Thermophile
Thermoanaerobacter wiegelii Rt8.B1	Thermophile
Pseudothermotoga lettingae TMO	Thermophile
Marinitoga piezophila KA3	Thermophile
Kosmotoga olearia TBF 19.5.1	Thermophile
Fervidobacterium pennivorans DSM 9078	Thermophile
Carboxydothermus hydrogenoformans Z-2901	Thermophile
Rhodothermus marinus DSM 4252	Thermophile
Thermus thermophilus HB8	Thermophile
Sulfurihydrogenibium azorense Az-Fu1	Thermophile
Thermosediminibacter oceani DSM 16646	Thermophile
Persephonella marina EX-H1	Thermophile
Desulfurobacterium thermolithotrophum DSM 11699	Thermophile
Dictyoglomus thermophilum H-6-12	Thermophile
Thermomicrobium roseum DSM 5159	Thermophile
Marinithermus hydrothermalis DSM 14884	Thermophile
Ammonifex degensii KC4	Thermophile
Caldicellulosiruptor owensensis OL	Thermophile
Caldicellulosiruptor kristjanssonii I77R1B	Thermophile
Caldicellulosiruptor kronotskyensis 2002	Thermophile
Thermodesulfatator indicus DSM 15286	Thermophile
Fervidobacterium nodosum Rt17-B1	Thermophile
Pseudothermotoga thermarum DSM 5069	Thermophile
Thermovibrio ammonificans HB-1	Thermophile
Dictyoglomus turgidum DSM 6724	Thermophile
Caldanaerobacter subterraneus subsp. tengcongensis MB4	Thermophile
Thermaerobacter marianensis DSM 12885	Thermophile
Caldicellulosiruptor obsidiansis OB47	Thermophile
Thermosipho africanus TCF52B	Thermophile
Thermotoga neapolitana DSM 4359	Thermophile
Thermocrinis albus DSM 14484	Thermophile
